functional_area,subgroup,classification_ids,workload_assumptions,formula_id,operational_assumptions,capacity_output
BEDS_CRITICAL_CARE,adult,CLASS_AGE_ADULT,CRITICAL_CARE_ADULT_PERCENT_OVERNIGHT_BED_DAYS,FRM_BED_OCCUPANCY,"CRITICAL_CARE_ADULT_OCC, CRITICAL_CARE_ANNUAL_OPERATIONAL_DAYS",ADULT_CRITICAL_CARE_BEDS
BEDS_CRITICAL_CARE,paediatric,CLASS_AGE_PAEDIATRIC,CRITICAL_CARE_PAEDIATRIC_PERCENT_OVERNIGHT_BED_DAYS,FRM_BED_OCCUPANCY,"CRITICAL_CARE_PAEDIATRIC_OCC, CRITICAL_CARE_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_CRITICAL_CARE_BEDS
BEDS_INPATIENT_ASSESSMENT,adult,"CLASS_AGE_ADULT, CLASS_NON_ELECTIVE, CLASS_MEDICAL, CLASS_SURGICAL","INPATIENT_ASSESSMENT_ADULT_NON_ELECTIVE_MEDICAL_LOS, INPATIENT_ASSESSMENT_ADULT_NON_ELECTIVE_SURGICAL_LOS",FRM_BED_OCCUPANCY,"INPATIENT_ASSESSMENT_ADULT_OCC, INPATIENT_ASSESSMENT_ANNUAL_OPERATIONAL_DAYS",ADULT_INPATIENT_ASSESSMENT_BEDS
BEDS_INPATIENT_ASSESSMENT,paediatric,"CLASS_AGE_PAEDIATRIC, CLASS_NON_ELECTIVE, CLASS_MEDICAL, CLASS_SURGICAL","INPATIENT_ASSESSMENT_PAEDIATRIC_NON_ELECTIVE_MEDICAL_LOS, INPATIENT_ASSESSMENT_PAEDIATRIC_NON_ELECTIVE_SURGICAL_LOS",FRM_BED_OCCUPANCY,"INPATIENT_ASSESSMENT_PAEDIATRIC_OCC, INPATIENT_ASSESSMENT_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_INPATIENT_ASSESSMENT_BEDS
BEDS_INPATIENT_WARD,adult elective medical,"CLASS_AGE_ADULT, CLASS_ELECTIVE, CLASS_MEDICAL",WARD_ADULT_ELECTIVE_MEDICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_ADULT_ELECTIVE_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",ADULT_ELECTIVE_INPATIENT_WARD_BEDS
BEDS_INPATIENT_WARD,adult elective surgical,"CLASS_AGE_ADULT, CLASS_ELECTIVE, CLASS_SURGICAL",WARD_ADULT_ELECTIVE_SURGICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_ADULT_ELECTIVE_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",ADULT_ELECTIVE_INPATIENT_WARD_BEDS
BEDS_INPATIENT_WARD,adult non-elective medical,"CLASS_AGE_ADULT, CLASS_NON_ELECTIVE, CLASS_MEDICAL",WARD_ADULT_NON_ELECTIVE_MEDICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_ADULT_NON_ELECTIVE_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",ADULT_NON_ELECTIVE_INPATIENT_WARD_BEDS
BEDS_INPATIENT_WARD,adult non-elective surgical,"CLASS_AGE_ADULT, CLASS_NON_ELECTIVE, CLASS_SURGICAL",WARD_ADULT_NON_ELECTIVE_SURGICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_ADULT_NON_ELECTIVE_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",ADULT_NON_ELECTIVE_INPATIENT_WARD_BEDS
BEDS_INPATIENT_WARD,paediatric elective medical,"CLASS_AGE_CHILD, CLASS_ELECTIVE, CLASS_MEDICAL",WARD_PAED_ELECTIVE_MEDICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_PAEDIATRIC_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_INPATIENT_WARD_BEDS
BEDS_INPATIENT_WARD,paediatric elective surgical,"CLASS_AGE_CHILD, CLASS_ELECTIVE, CLASS_SURGICAL",WARD_PAED_ELECTIVE_SURGICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_PAEDIATRIC_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_INPATIENT_WARD_BEDS
